Name,Price,Rate,Url
Xiaomi 14 CIVI (Matcha Green 256 GB),42999,4.3,https://www.flipkart.com/xiaomi-14-civi-matcha-green-256-gb/p/itm79eae844cf78a?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSAI0RN2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBHFGU7DP9WMCHS.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 14 CIVI (Shadow Black 512 GB),47999,4.2,https://www.flipkart.com/xiaomi-14-civi-shadow-black-512-gb/p/itm23d1de67ebc77?pid=MOBHFGU75KAEJQGN&lid=LSTMOBHFGU75KAEJQGNZW1SUF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBHFGU75KAEJQGN.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
REDMI 10 Power (Power Black 128 GB),10790,4.2,https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm17561f2c0c6b6?pid=MOBGSYMFPHKSJTWH&lid=LSTMOBGSYMFPHKSJTWHIIDRMK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGSYMFPHKSJTWH.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 14 CIVI (Cruise Blue 256 GB),42999,4.3,https://www.flipkart.com/xiaomi-14-civi-cruise-blue-256-gb/p/itm34da1cf159d63?pid=MOBHFGU7WVYJPNEV&lid=LSTMOBHFGU7WVYJPNEVBSUPQH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBHFGU7WVYJPNEV.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Redmi 7A (Matte Black 32 GB),6999,4.3,https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itm117b7c03ad185?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBFHZ4BRKSMDXH7.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
REDMI 10 Power (Power Black 128 GB),11680,4.2,https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFYKKZFZGV&lid=LSTMOBGHDXFYKKZFZGVE0QYTC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGHDXFYKKZFZGV.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 14 (White 512 GB),69999,4.6,https://www.flipkart.com/xiaomi-14-white-512-gb/p/itma16b2232a226f?pid=MOBGYGCMMSNJUZJE&lid=LSTMOBGYGCMMSNJUZJEHI24XU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGYGCMMSNJUZJE.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 14 (Black 512 GB),69999,4.6,https://www.flipkart.com/xiaomi-14-black-512-gb/p/itm9199c6406170d?pid=MOBGYGCM6WBYMZRH&lid=LSTMOBGYGCM6WBYMZRHJI0E5Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGYGCM6WBYMZRH.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 14 CIVI (Cruise Blue 512 GB),47999,4.2,https://www.flipkart.com/xiaomi-14-civi-cruise-blue-512-gb/p/itm21456ebc14d31?pid=MOBHFGU7P4NPRCCR&lid=LSTMOBHFGU7P4NPRCCRAEDANA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBHFGU7P4NPRCCR.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Redmi 7A (Matte Blue 32 GB),6999,4.3,https://www.flipkart.com/redmi-7a-matte-blue-32-gb/p/itm2cabf87a171a0?pid=MOBFHZ4BZW2GM6UH&lid=LSTMOBFHZ4BZW2GM6UHB6IRZ1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBFHZ4BZW2GM6UH.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
